2026-04-01 02:36:44 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 6 detection strategies
2026-04-01 02:36:44 | crawler.state_manager | INFO | StateManager initialized (normalization=ON)
2026-04-01 02:36:44 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 02:36:44 | crawler.page_loader | INFO | PageLoader initialized: chromium, headless=False
2026-04-01 02:36:46 | crawler.page_loader | INFO | 📂 Loaded session from: auth_session.json
2026-04-01 02:36:47 | crawler.page_loader | INFO | ✅ Font bypass and animation disable injected
2026-04-01 02:36:47 | crawler.page_loader | INFO | ✅ Browser started successfully
2026-04-01 02:36:47 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:5500/test_websites/site3_register/index.html
2026-04-01 02:36:58 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 02:37:02 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 02:37:02 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 02:37:12 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 02:37:12 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 02:37:22 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 02:37:25 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 02:37:25 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 02:37:25 | crawler.state_manager | INFO | ✅ New state: 4105c731 | /test_websites/site3_register/index.html | 5 inputs, 1 forms
2026-04-01 02:37:26 | crawler.page_loader | INFO | 🛑 Browser closed
